"Stem","Orders_Sum","WordsOfStem_Visits","StemC"
"2","0","baker light(2)","baker light"
"2","0","baker meat(2)","baker meat"
"2","1","baker meati meal small dog(2)","baker meati meal small dog"
"2","0","baker meati twist(2)","baker meati twist"
"2","0","baker puppi puppi(2)","baker puppi puppi"
"2","0","baker reward(2)","baker reward"
"2","1","baker reward dog(2)","baker reward dog"
"2","0","baker senior dog food(2)","baker senior dog food"
"2","2","baker small dog chicken(2)","baker small dog chicken"
"2","1","baker small dog food(2)","baker small dog food"
"2","0","baket(2)","baket"
"2","0","bale of hay(2)","bale of hay"
"2","0","ball and rope(2)","ball and rope"
"2","1","ball bell(2)","ball bell"
"2","0","ball blaster(2)","ball blaster"
"2","0","ball chucker(2)","ball chucker"
"2","0","ball hamster(2)","ball hamster"
"2","0","ball pin brush(2)","ball pin brush"
"2","1","ball for dog(2)","ball for dog"
"2","0","bamboo bed(2)","bamboo bed"
"2","1","bamboo cat(2)","bamboo cat"
"2","1","bamboo radiat bed(2)","bamboo radiat bed"
"2","0","bandana dog bandana(2)","bandana dog bandana"
"2","0","bangor(2)","bangor"
"2","0","banquet(2)","banquet"
"2","0","bark collar bark(2)","bark collar bark"
"2","0","bark control anti(2)","bark control anti"
"2","0","bark collar(2)","bark collar"
"2","0","bark head grain free(2)","bark head grain free"
"2","1","bark head puppi day(2)","bark head puppi day"
"2","0","bark head 12(2)","bark head 12"
"2","1","bark head 400g(2)","bark head 400g"
"2","0","bark head bad hair(2)","bark head bad hair"
"2","0","bark head big foot(2)","bark head big foot"
"2","0","bark head golden(2)","bark head golden"
"2","0","bark head grain(2)","bark head grain"
"2","0","bark head lamb(2)","bark head lamb"
"2","0","bark head larg breed puppi(2)","bark head larg breed puppi"
"2","1","bark head larg breed puppi food(2)","bark head larg breed puppi food"
"2","0","bark head senior(2)","bark head senior"
"2","0","bark head small dog(2)","bark head small dog"
"2","1","bark head treat(2)","bark head treat"
"2","0","barkshir(2)","barkshir"
"2","0","barkstop(2)","barkstop"
"2","0","barkstopp(2)","barkstopp"
"2","0","barley(2)","barley"
"2","0","barrier rug(2)","barrier rug"
"2","0","barri(2)","barri"
"2","0","base(2)","base"
"2","0","basebal cap(2)","basebal cap"
"2","0","basildon(2)","basildon"
"2","0","basingstok(2)","basingstok"
"2","1","bask light(2)","bask light"
"2","0","bass(2)","bass"
"2","0","basset(2)","basset"
"2","0","bat(2)","bat"
"2","0","bath bath(2)","bath bath"
"2","0","bath tub(2)","bath tub"
"2","0","bath(2)","bath"
"2","0","battersea(2)","battersea"
"2","0","bat practic teaser(2)","bat practic teaser"
"2","0","bayer advoc(2)","bayer advoc"
"2","1","bayonet(2)","bayonet"
"2","0","bayonet bulb(2)","bayonet bulb"
"2","0","bck granul(2)","bck granul"
"2","1","bea(2)","bea"
"2","0","beach hut(2)","beach hut"
"2","0","beagl beagl(2)","beagl beagl"
"2","0","beagl book(2)","beagl book"
"2","0","beagl calend(2)","beagl calend"
"2","0","beagl royal canin(2)","beagl royal canin"
"2","0","beagl(2)","beagl"
"2","1","beak perch(2)","beak perch"
"2","0","beano(2)","beano"
"2","0","beaphar calcium(2)","beaphar calcium"
"2","0","beaphar calm spot(2)","beaphar calm spot"
"2","0","beaphar calm spoton for dog(2)","beaphar calm spoton for dog"
"2","0","beaphar cat past(2)","beaphar cat past"
"2","0","beaphar disinfect(2)","beaphar disinfect"
"2","0","beaphar dog eye lotion(2)","beaphar dog eye lotion"
"2","0","beaphar fiprotec(2)","beaphar fiprotec"
"2","0","beaphar hairbal(2)","beaphar hairbal"
"2","0","beaphar kitti milk(2)","beaphar kitti milk"
"2","0","beaphar small anim(2)","beaphar small anim"
"2","0","beaphar spot on(2)","beaphar spot on"
"2","2","beaphar top 10(2)","beaphar top 10"
"2","0","beaphar treat(2)","beaphar treat"
"2","0","beaphor(2)","beaphor"
"2","0","beard dragon(2)","beard dragon"
"2","0","beard hat(2)","beard hat"
"2","0","beard dragon pet(2)","beard dragon pet"
"2","0","beard dragon pet(2)","beard dragon pet"
"2","0","beat(2)","beat"
"2","0","beata(2)","beata"
"2","0","beco bag(2)","beco bag"
"2","0","beco poop bag(2)","beco poop bag"
"2","0","becobal(2)","becobal"
"2","0","bed cat(2)","bed cat"
"2","0","bed dog bed(2)","bed dog bed"
"2","0","bed fleec(2)","bed fleec"
"2","0","bed for cat(2)","bed for cat"
"2","0","bed for rabbit(2)","bed for rabbit"
"2","1","bed inner(2)","bed inner"
"2","0","bedbug(2)","bedbug"
"2","0","bed for dog(2)","bed for dog"
"2","0","bed for hamster(2)","bed for hamster"
"2","1","bed paper(2)","bed paper"
"2","0","bed pod(2)","bed pod"
"2","0","bed reptil substrat(2)","bed reptil substrat"
"2","0","bed sawdust(2)","bed sawdust"
"2","0","bed straw(2)","bed straw"
"2","0","bedford(2)","bedford"
"2","0","bedlington terrier(2)","bedlington terrier"
"2","0","bedlington terrier calendar(2)","bedlington terrier calendar"
"2","0","bed for cat(2)","bed for cat"
"2","0","bed for larg cat(2)","bed for larg cat"
"2","0","beech(2)","beech"
"2","0","beech chip(2)","beech chip"
"2","0","beef chunk 2kg(2)","beef chunk 2kg"
"2","0","beef raw(2)","beef raw"
"2","0","beef rawhid(2)","beef rawhid"
"2","0","beef stick dog(2)","beef stick dog"
"2","0","beef tendon(2)","beef tendon"
"2","0","bee(2)","bee"
"2","0","beetl(2)","beetl"
"2","0","bell ball(2)","bell ball"
"2","0","bendi stick(2)","bendi stick"
"2","0","bereav(2)","bereav"
"2","0","best cat litter in the world(2)","best cat litter in the world"
"2","0","beta 14kg(2)","beta 14kg"
"2","0","beta activ activ(2)","beta activ activ"
"2","1","beta activ adult(2)","beta activ adult"
"2","0","beta adult chicken(2)","beta adult chicken"
"2","0","beta adult larg breed(2)","beta adult larg breed"
"2","0","beta larg dog(2)","beta larg dog"
"2","0","beta light 14kg(2)","beta light 14kg"
"2","0","beta puppi 14kg(2)","beta puppi 14kg"
"2","0","beta puppi turkey(2)","beta puppi turkey"
"2","1","beta terrier food(2)","beta terrier food"
"2","0","betta  splenden(2)","betta  splenden"
"2","0","betta hammock(2)","betta hammock"
"2","1","betta replac(2)","betta replac"
"2","0","bewar of dog(2)","bewar of dog"
"2","0","bewar of dog sign(2)","bewar of dog sign"
"2","0","bewar of dog sign(2)","bewar of dog sign"
"2","0","bewar of the hamster(2)","bewar of the hamster"
"2","0","bhudda(2)","bhudda"
"2","0","bichon frise bichon(2)","bichon frise bichon"
"2","1","bichon frise calendar(2)","bichon frise calendar"
"2","0","big bed(2)","big bed"
"2","0","big bone(2)","big bone"
"2","0","big dog coat(2)","big dog coat"
"2","0","billi amp margot(2)","billi amp margot"
"2","0","bio activ(2)","bio activ"
"2","0","bio activ(2)","bio activ"
"2","1","bio boost(2)","bio boost"
"2","1","bio catlet(2)","bio catlet"
"2","0","bio filter(2)","bio filter"
"2","0","bio litter(2)","bio litter"
"2","0","bio orb 105(2)","bio orb 105"
"2","0","bio orb halo(2)","bio orb halo"
"2","0","bio tank(2)","bio tank"
"2","0","biob(2)","biob"
"2","0","biocatalet(2)","biocatalet"
"2","0","biocatlet(2)","biocatlet"
"2","1","bionic ball(2)","bionic ball"
"2","1","bionic bone(2)","bionic bone"
"2","0","bionic dog toy(2)","bionic dog toy"
"2","0","bionic frisbe(2)","bionic frisbe"
"2","0","bioorb life(2)","bioorb life"
"2","1","bioorb servic kit(2)","bioorb servic kit"
"2","0","bioorb tank(2)","bioorb tank"
"2","0","biorb  15(2)","biorb  15"
"2","0","biorb air(2)","biorb air"
"2","0","biorb aquarium(2)","biorb aquarium"
"2","0","biorb bulb(2)","biorb bulb"
"2","0","biorb kit(2)","biorb kit"
"2","1","biorb life pure 15l(2)","biorb life pure 15l"
"2","0","biorb light light(2)","biorb light light"
"2","0","biorb media(2)","biorb media"
"2","0","biorb pack biorb(2)","biorb pack biorb"
"2","0","biorb tank fish(2)","biorb tank fish"
"2","0","biorb tropic(2)","biorb tropic"
"2","0","biorb tropic fish tank(2)","biorb tropic fish tank"
"2","1","biord(2)","biord"
"2","0","biorhythm pump(2)","biorhythm pump"
"2","0","biorn(2)","biorn"
"2","0","biotin tablet 200g(2)","biotin tablet 200g"
"2","0","bird  cage(2)","bird  cage"
"2","0","bird  cage(2)","bird  cage"
"2","0","bird book(2)","bird book"
"2","0","bird cage antiqu(2)","bird cage antiqu"
"2","0","bird cake(2)","bird cake"
"2","0","bird cam(2)","bird cam"
"2","0","bird camera(2)","bird camera"
"2","0","bird chip(2)","bird chip"
"2","0","bird dog toy(2)","bird dog toy"
"2","1","bird feeder seed(2)","bird feeder seed"
"2","0","bird food bowl(2)","bird food bowl"
"2","0","bird grit happi(2)","bird grit happi"
"2","0","bird groom(2)","bird groom"
"2","0","bird heat(2)","bird heat"
"2","0","bird light(2)","bird light"
"2","0","bird sand 2kg(2)","bird sand 2kg"
"2","0","bird seed feeder(2)","bird seed feeder"
"2","0","bird seed(2)","bird seed"
"2","0","bird station(2)","bird station"
"2","0","bird suet pellet(2)","bird suet pellet"
"2","0","bird tabl hutch(2)","bird tabl hutch"
"2","0","bird water feeder(2)","bird water feeder"
"2","0","birdcag accessori(2)","birdcag accessori"
"2","0","bird bird(2)","bird bird"
"2","0","bird cage(2)","bird cage"
"2","1","bird food(2)","bird food"
"2","0","birdtabl(2)","birdtabl"
"2","0","biriob accessi(2)","biriob accessi"
"2","1","biro flow(2)","biro flow"
"2","0","birthday gift(2)","birthday gift"
"2","0","birthday treat(2)","birthday treat"
"2","1","biscroc(2)","biscroc"
"2","0","biscuit contain(2)","biscuit contain"
"2","0","biscuit for dog(2)","biscuit for dog"
"2","0","bishop stortford(2)","bishop stortford"
"2","1","bitch and deodor tablet(2)","bitch and deodor tablet"
"2","0","bitch season pad(2)","bitch season pad"
"2","0","bitch in season(2)","bitch in season"
"2","0","bitter yuck(2)","bitter yuck"
"2","0","black alga(2)","black alga"
"2","1","black blanket(2)","black blanket"
"2","1","black carrier(2)","black carrier"
"2","0","black cat bowl(2)","black cat bowl"
"2","2","black cat carrier(2)","black cat carrier"
"2","0","black collar(2)","black collar"
"2","0","black dog bed(2)","black dog bed"
"2","0","black dog har(2)","black dog har"
"2","2","black fleec(2)","black fleec"
"2","0","black fruday(2)","black fruday"
"2","0","black lab calendar(2)","black lab calendar"
"2","1","black labrador calendar(2)","black labrador calendar"
"2","0","black moor(2)","black moor"
"2","0","black moor goldfish(2)","black moor goldfish"
"2","0","black nylon lead(2)","black nylon lead"
"2","0","black pad har(2)","black pad har"
"2","0","black pea(2)","black pea"
"2","0","black star collar(2)","black star collar"
"2","0","black teddi oval bed(2)","black teddi oval bed"
"2","0","black vivarium(2)","black vivarium"
"2","0","blackfriday(2)","blackfriday"
"2","0","blackpool(2)","blackpool"
"2","0","blade(2)","blade"
"2","1","blagdon pro uvc(2)","blagdon pro uvc"
"2","0","blancket(2)","blancket"
"2","0","blanco luxuri cat furnitur(2)","blanco luxuri cat furnitur"
"2","0","blank(2)","blank"
"2","0","blanket bed(2)","blanket bed"
"2","0","blanket cage(2)","blanket cage"
"2","0","blanket cat(2)","blanket cat"
"2","0","blanket rspca(2)","blanket rspca"
"2","0","blanket blanki(2)","blanket blanki"
"2","0","blanket blanki pink(2)","blanket blanki pink"
"2","0","blaster(2)","blaster"
"2","1","bleed(2)","bleed"
"2","0","blinker light(2)","blinker light"
"2","0","block anal gland(2)","block anal gland"
"2","0","block(2)","block"
"2","0","bloodworm 100g(2)","bloodworm 100g"
"2","0","bloomer herb(2)","bloomer herb"
"2","0","blubel cottag(2)","blubel cottag"
"2","1","blue ball(2)","blue ball"
"2","0","blue cat collar(2)","blue cat collar"
"2","0","blue collar(2)","blue collar"
"2","0","blue dog coller(2)","blue dog coller"
"2","0","blue fairisl snowman earmuff sweater(2)","blue fairisl snowman earmuff sweater"
"2","0","blue flexi lead(2)","blue flexi lead"
"2","0","blue moon(2)","blue moon"
"2","0","blue moon bulb(2)","blue moon bulb"
"2","1","blue plant(2)","blue plant"
"2","0","blue puppi collar(2)","blue puppi collar"
"2","1","blue spotti bed(2)","blue spotti bed"
"2","0","blue star blanket(2)","blue star blanket"
"2","1","blue star dog bed(2)","blue star dog bed"
"2","0","bluebel cottag(2)","bluebel cottag"
"2","2","bluebel thermal hutch(2)","bluebel thermal hutch"
"2","1","boar(2)","boar"
"2","1","boat ornament(2)","boat ornament"
"2","1","bob martin biodegrad poop scoop bag 60 pack(2)","bob martin biodegrad poop scoop bag 60 pack"
"2","1","bob martin chew stop(2)","bob martin chew stop"
"2","0","bob martin flea and tick(2)","bob martin flea and tick"
"2","1","bob martin rub down(2)","bob martin rub down"
"2","0","bob martin spray(2)","bob martin spray"
"2","0","bob martin worm(2)","bob martin worm"
"2","0","bob martin wormer(2)","bob martin wormer"
"2","0","bob martin worm tablet(2)","bob martin worm tablet"
"2","0","bobbi bear(2)","bobbi bear"
"2","1","bob chewi meati(2)","bob chewi meati"
"2","0","bob chicken(2)","bob chicken"
"2","1","bob chicken corkchew(2)","bob chicken corkchew"
"2","0","bodi lead(2)","bodi lead"
"2","1","bogena(2)","bogena"
"2","0","bo(2)","bo"
"2","1","bol(2)","bol"
"2","0","bolt bowl(2)","bolt bowl"
"2","0","bolt on bowl(2)","bolt on bowl"
"2","0","bolt on stainless steel bowl(2)","bolt on stainless steel bowl"
"2","0","bomber jacket(2)","bomber jacket"
"2","2","bon ton(2)","bon ton"
"2","0","bone fill(2)","bone fill"
"2","0","bone har(2)","bone har"
"2","1","bone meal supplement(2)","bone meal supplement"
"2","0","bone stock(2)","bone stock"
"2","0","bone toy(2)","bone toy"
"2","2","bonio puppi milk biscuit 350gm(2)","bonio puppi milk biscuit 350gm"
"2","0","bonio(2)","bonio"
"2","0","bono(2)","bono"
"2","0","bonsai(2)","bonsai"
"2","0","bonsai plant(2)","bonsai plant"
"2","0","bonus point(2)","bonus point"
"2","0","boo(2)","boo"
"2","0","book dog care(2)","book dog care"
"2","0","book dog groom(2)","book dog groom"
"2","0","book groom(2)","book groom"
"2","0","book on hamster(2)","book on hamster"
"2","0","boomerbal(2)","boomerbal"
"2","0","boost water treatment(2)","boost water treatment"
"2","0","booster jab prise(2)","booster jab prise"
"2","0","booster seat dog(2)","booster seat dog"
"2","2","boot cover dog(2)","boot cover dog"
"2","0","booti(2)","booti"
"2","0","boredom breaker rabbit(2)","boredom breaker rabbit"
"2","0","boredom buster(2)","boredom buster"
"2","0","boredom buster toy(2)","boredom buster toy"
"2","0","bosh(2)","bosh"
"2","0","boss(2)","boss"
"2","0","boston(2)","boston"
"2","1","bottl cover bottl(2)","bottl cover bottl"
"2","0","bottl dog(2)","bottl dog"
"2","0","bottom feeder(2)","bottom feeder"
"2","0","boutiqu hood cat(2)","boutiqu hood cat"
"2","0","bow tie bow(2)","bow tie bow"
"2","1","bow tie for dog(2)","bow tie for dog"
"2","0","bowl on stand(2)","bowl on stand"
"2","0","bowl(2)","bowl"
"2","0","bowl cat(2)","bowl cat"
"2","0","bowl dog(2)","bowl dog"
"2","0","bow dog(2)","bow dog"
"2","0","bowwow(2)","bowwow"
"2","0","box cat(2)","box cat"
"2","1","boxbi chew chicken 100 natur dog treat 100g(2)","boxbi chew chicken 100 natur dog treat 100g"
"2","0","boxbi dog(2)","boxbi dog"
"2","1","box treat(2)","box treat"
"2","0","boxer 26(2)","boxer 26"
"2","0","boxer dog calendar(2)","boxer dog calendar"
"2","1","braid(2)","braid"
"2","0","braid(2)","braid"
"2","0","braid dog lead(2)","braid dog lead"
"2","0","brain(2)","brain"
"2","0","brain toy(2)","brain toy"
"2","0","brain toy for dog(2)","brain toy for dog"
"2","0","brash(2)","brash"
"2","0","breath fresh(2)","breath fresh"
"2","0","breath fresh for dog(2)","breath fresh for dog"
"2","0","breeder box(2)","breeder box"
"2","0","breeder celect  cat litter(2)","breeder celect  cat litter"
"2","0","breeder celect litter(2)","breeder celect litter"
"2","0","breeder celect recycl(2)","breeder celect recycl"
"2","0","breed dog(2)","breed dog"
"2","0","brew(2)","brew"
"2","0","bridgemead(2)","bridgemead"
"2","0","bridgewat(2)","bridgewat"
"2","0","brighton(2)","brighton"
"2","0","bristol hamster(2)","bristol hamster"
"2","0","bristol hamster cage(2)","bristol hamster cage"
"2","0","british(2)","british"
"2","0","broadheath(2)","broadheath"
"2","1","broom(2)","broom"
"2","2","broth(2)","broth"
"2","0","brown(2)","brown"
"2","0","brown catflap(2)","brown catflap"
"2","0","brown har(2)","brown har"
"2","0","brown dog food(2)","brown dog food"
"2","0","bs2 9yd(2)","bs2 9yd"
"2","0","btn bag dispens(2)","btn bag dispens"
"2","0","bubbl block(2)","bubbl block"
"2","0","bubbl curtain(2)","bubbl curtain"
"2","0","bubbl light(2)","bubbl light"
"2","0","bubbl ornament(2)","bubbl ornament"
"2","0","bubbl wall(2)","bubbl wall"
"2","0","bubbl 5oz catnip(2)","bubbl 5oz catnip"
"2","0","bucket(2)","bucket"
"2","0","budda(2)","budda"
"2","0","buddi(2)","buddi"
"2","0","buddi bone rawhid refil(2)","buddi bone rawhid refil"
"2","0","budgi feeder(2)","budgi feeder"
"2","0","budgi food budgi(2)","budgi food budgi"
"2","0","budgi treat(2)","budgi treat"
"2","0","buffalo coat(2)","buffalo coat"
"2","0","buffer asprin(2)","buffer asprin"
"2","0","bug bomb(2)","bug bomb"
"2","0","bugdi(2)","bugdi"
"2","1","build(2)","build"
"2","0","bulb convert(2)","bulb convert"
"2","0","bulb uv light(2)","bulb uv light"
"2","0","bull dog calendar(2)","bull dog calendar"
"2","0","bull terrier  calendar(2)","bull terrier  calendar"
"2","0","bulldog calandar(2)","bulldog calandar"
"2","1","bulldog calend(2)","bulldog calend"
"2","0","bulldog puppi dri food(2)","bulldog puppi dri food"
"2","0","bullmastiff tradit(2)","bullmastiff tradit"
"2","0","bull horn(2)","bull horn"
"2","0","bumper cover(2)","bumper cover"
"2","0","bundl(2)","bundl"
"2","0","bunni(2)","bunni"
"2","0","bunni box(2)","bunni box"
"2","0","bunni ear(2)","bunni ear"
